IntendedOnset,IntendedDuration,Condition,ItemNumber,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Flip,Order_agent,Order_patient
72,2,Agent,30,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balanced,balanced,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.,Melissa Oval is being balanced by Lily Triangle.,Melissa Oval was balanced by Lily Triangle.,The oval is being balanced by the triangle.,The oval was balanced by the triangle.,0,16,42
74,2,Patient,39,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,1,6,12
76,2,Agent,32,Zach,Star,star,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.,Lily Triangle is being stopped by Zach Star.,Lily Triangle was stopped by Zach Star.,The triangle is being stopped by the star.,The triangle was stopped by the star.,0,17,43
78,2,Agent,44,Zach,Star,star,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.,Lily Triangle is being balanced by Zach Star.,Lily Triangle was balanced by Zach Star.,The triangle is being balanced by the star.,The triangle was balanced by the star.,1,18,15
80,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2,Agent,8,Kyle,Square,square,Zach,Star,star,roll,rolled,rolled,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.,Zach Star is being rolled by Kyle Square.,Zach Star was rolled by Kyle Square.,The star is being rolled by the square.,The star was rolled by the square.,0,19,56
88,2,Agent,19,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,1,20,14
90,2,Agent,21,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,0,21,3
92,2,Patient,26,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,0,31,13
94,2,Agent,45,Zach,Star,star,Melissa,Oval,oval,balanc,balanced,balanced,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.,Melissa Oval is being balanced by Zach Star.,Melissa Oval was balanced by Zach Star.,The oval is being balanced by the star.,The oval was balanced by the star.,0,22,46
96,2,Agent,57,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,1,23,18
98,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2,Agent,1,Kyle,Square,square,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.,Lily Triangle is being stopped by Kyle Square.,Lily Triangle was stopped by Kyle Square.,The triangle is being stopped by the square.,The triangle was stopped by the square.,1,24,31
104,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2,Agent,43,Zach,Star,star,Kyle,Square,square,balanc,balanced,balanced,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.,Kyle Square is being balanced by Zach Star.,Kyle Square was balanced by Zach Star.,The square is being balanced by the star.,The square was balanced by the star.,0,25,6
108,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2,Patient,19,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,1,20,14
112,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2,Patient,44,Zach,Star,star,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.,Lily Triangle is being balanced by Zach Star.,Lily Triangle was balanced by Zach Star.,The triangle is being balanced by the star.,The triangle was balanced by the star.,1,18,15
116,2,Patient,6,Kyle,Square,square,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.,Melissa Oval is being bounced by Kyle Square.,Melissa Oval was bounced by Kyle Square.,The oval is being bounced by the square.,The oval was bounced by the square.,1,2,16
118,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2,Patient,11,Kyle,Square,square,Zach,Star,star,shak,shook,shaken,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.,Zach Star is being shaken by Kyle Square.,Zach Star was shaken by Kyle Square.,The star is being shaken by the square.,The star was shaken by the square.,0,36,17
122,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2,Patient,57,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,1,23,18
126,2,Agent,48,Melissa,Oval,oval,Zach,Star,star,stopp,stopped,stopped,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.,Zach Star is being stopped by Melissa Oval.,Zach Star was stopped by Melissa Oval.,The star is being stopped by the oval.,The star was stopped by the oval.,0,26,37
128,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2,Patient,2,Kyle,Square,square,Zach,Star,star,stopp,stopped,stopped,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.,Zach Star is being stopped by Kyle Square.,Zach Star was stopped by Kyle Square.,The star is being stopped by the square.,The star was stopped by the square.,1,43,19
132,2,Patient,35,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,0,41,20
134,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2,Agent,20,Lily,Triangle,triangle,Zach,Star,star,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.,Zach Star is being bounced by Lily Triangle.,Zach Star was bounced by Lily Triangle.,The star is being bounced by the triangle.,The star was bounced by the triangle.,1,27,44
138,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2,Agent,14,Kyle,Square,square,Zach,Star,star,balanc,balanced,balanced,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.,Zach Star is being balanced by Kyle Square.,Zach Star was balanced by Kyle Square.,The star is being balanced by the square.,The star was balanced by the square.,0,28,9
144,2,Patient,52,Melissa,Oval,oval,Kyle,Square,square,roll,rolled,rolled,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.,Kyle Square is being rolled by Melissa Oval.,Kyle Square was rolled by Melissa Oval.,The square is being rolled by the oval.,The square was rolled by the oval.,0,52,21
146,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2,Patient,58,Melissa,Oval,oval,Kyle,Square,square,balanc,balanced,balanced,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.,Kyle Square is being balanced by Melissa Oval.,Kyle Square was balanced by Melissa Oval.,The square is being balanced by the oval.,The square was balanced by the oval.,0,15,22
150,2,Agent,18,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,0,29,57
152,2,Patient,41,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,1,34,23
154,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2,Agent,7,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,1,30,32
158,2,Patient,5,Kyle,Square,square,Zach,Star,star,bounc,bounced,bounced,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.,Zach Star is being bounced by Kyle Square.,Zach Star was bounced by Kyle Square.,The star is being bounced by the square.,The star was bounced by the square.,1,5,24
160,2,Patient,54,Melissa,Oval,oval,Zach,Star,star,roll,rolled,rolled,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.,Zach Star is being rolled by Melissa Oval.,Zach Star was rolled by Melissa Oval.,The star is being rolled by the oval.,The star was rolled by the oval.,0,58,25
162,2,Patient,51,Melissa,Oval,oval,Zach,Star,star,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Zach Star.,Melissa Oval bounced Zach Star.,The oval is bouncing the star.,The oval bounced the star.,Zach Star is being bounced by Melissa Oval.,Zach Star was bounced by Melissa Oval.,The star is being bounced by the oval.,The star was bounced by the oval.,1,50,26
164,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,2,Agent,26,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,0,31,13
170,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,2,Patient,55,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,1,1,27
174,2,Patient,22,Lily,Triangle,triangle,Kyle,Square,square,roll,rolled,rolled,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.,Kyle Square is being rolled by Lily Triangle.,Kyle Square was rolled by Lily Triangle.,The square is being rolled by the triangle.,The square was rolled by the triangle.,1,57,28
176,2,Agent,46,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,0,32,51
178,2,Agent,59,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.,Lily Triangle is being balanced by Melissa Oval.,Lily Triangle was balanced by Melissa Oval.,The triangle is being balanced by the oval.,The triangle was balanced by the oval.,0,33,53
180,2,Patient,27,Lily,Triangle,triangle,Melissa,Oval,oval,shak,shook,shaken,shake,Lily Triangle is shaking Melissa Oval.,Lily Triangle shook Melissa Oval.,The triangle is shaking the oval.,The triangle shook the oval.,Melissa Oval is being shaken by Lily Triangle.,Melissa Oval was shaken by Lily Triangle.,The oval is being shaken by the triangle.,The oval was shaken by the triangle.,0,54,29
182,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,2,Agent,41,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,1,34,23
186,2,Agent,28,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,1,35,30
188,2,Agent,11,Kyle,Square,square,Zach,Star,star,shak,shook,shaken,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.,Zach Star is being shaken by Kyle Square.,Zach Star was shaken by Kyle Square.,The star is being shaken by the square.,The star was shaken by the square.,0,36,17
190,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,2,Agent,16,Lily,Triangle,triangle,Kyle,Square,square,stopp,stopped,stopped,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.,Kyle Square is being stopped by Lily Triangle.,Kyle Square was stopped by Lily Triangle.,The square is being stopped by the triangle.,The square was stopped by the triangle.,0,37,50
194,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,2,Agent,15,Kyle,Square,square,Melissa,Oval,oval,balanc,balanced,balanced,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.,Melissa Oval is being balanced by Kyle Square.,Melissa Oval was balanced by Kyle Square.,The oval is being balanced by the square.,The oval was balanced by the square.,0,38,34
200,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
